name,area,totalRatingsString,deliveryTime,minDeliveryTime,maxDeliveryTime,costForTwoString+
Pushti Tushti, Kandivali West,100+ ratings, 32,32,32,₹300 FOR TWO
McDonald's, Kandivali East,500+ ratings, 19,19,19,₹400 FOR TWO
SHAWARMAJI, Kandivali, Malad East,100+ ratings, 16,16,16,₹300 FOR TWO
Alibag Cha Vadapav, Borivali,100+ ratings, 30,30,30,₹100 FOR TWO
Pizza Hut, Kandivali East,500+ ratings, 25,25,25,₹300 FOR TWO
Sandwizzaa, Kandivali East,500+ ratings, 21,21,21,₹250 FOR TWO
KFC, Helicon Heights,500+ ratings, 32,32,32,₹400 FOR TWO
Breadkraft, Mumbai,100+ ratings, 17,17,17,₹500 FOR TWO
Baskin Robbins, Kandivali East,20+ ratings, 14,14,14,₹250 FOR TWO
Merwans Cake Stop, Malad Kan East,100+ ratings, 12,12,12,₹400 FOR TWO
The Cake Factory, Malad Kan East,100+ ratings, 17,17,17,₹300 FOR TWO
Shawarma Heaven, Borivali West,500+ ratings, 32,32,32,₹200 FOR TWO
Peetuk, Kandivali East,1000+ ratings, 19,19,19,₹300 FOR TWO
The Belgian Waffle Co., Kandivali East,100+ ratings, 21,21,21,₹200 FOR TWO
Rasobongo Mahavir Nagar ( Authentic Bengali Sweets ), Borivali West,100+ ratings, 28,28,28,₹120 FOR TWO
Chinese Wok, Kandivali East,100+ ratings, 17,17,17,₹250 FOR TWO
Chai Sutta Bar, Kandivali East,50+ ratings, 27,27,27,₹250 FOR TWO
63 By-Lane, Malad Kan East,100+ ratings, 25,25,25,₹500 FOR TWO
The Momo Factory, Kandivali East,100+ ratings, 20,20,20,₹300 FOR TWO
Wendy's, Kandivali Charkop RK,100+ ratings, 35,35,35,₹400 FOR TWO
Nothing But Chicken, Kandivali East,100+ ratings, 17,17,17,₹400 FOR TWO
DBW DE BURGER WORLD, Thakur Village,Too Few Ratings, 25,25,25,₹200 FOR TWO
Tibb's Frankie, Borivali,50+ ratings, 29,29,29,₹200 FOR TWO
6th Street Yogurt, Malad Kan East,Too Few Ratings, 14,14,14,₹400 FOR TWO
Love & Cheesecake , Malad Kan East,50+ ratings, 9,9,9,₹900 FOR TWO
MY CHOICE FRANKY HOUSE, Malad Kan West,Too Few Ratings, 27,27,27,₹100 FOR TWO
Charcoal Eats - Biryani & Beyond, Kandivali East,100+ ratings, 19,19,19,₹499 FOR TWO
UFO Fries and Corn, Malad Kan East,Too Few Ratings, 28,28,28,₹300 FOR TWO
New York Burrito Company, Kandivali West,100+ ratings, 28,28,28,₹500 FOR TWO
Dharma's sandwich - Thakur Village, Kandivali East,Too Few Ratings, 24,24,24,₹200 FOR TWO
Frozen Bottle - Milkshakes, Desserts And Ice Cream, Kandivali East,50+ ratings, 15,15,15,₹250 FOR TWO
Sweet Bengal, Kandivali East,100+ ratings, 12,12,12,₹150 FOR TWO
Green Therapy Co., Malad Kan East,100+ ratings, 25,25,25,₹400 FOR TWO
Theobroma, Kandivali, Malad East,100+ ratings, 10,10,10,₹500 FOR TWO
Behrouz Biryani, Kandivali East,100+ ratings, 24,24,24,₹500 FOR TWO
Rama's Sweets and Snacks, Malad Kan East,20+ ratings, 14,14,14,₹350 FOR TWO
Go Zero - Guilt Free Ice Creams, Thakur Village,20+ ratings, 14,14,14,₹150 FOR TWO
Oven Story Pizza, Kandivali East,100+ ratings, 26,26,26,₹400 FOR TWO
Chaayos Chai+Snacks=Relax, kandivali east,100+ ratings, 15,15,15,₹250 FOR TWO
La Pino'z Pizza, Thakur Complex,100+ ratings, 21,21,21,₹400 FOR TWO
Konark Veg Diet, Kandivali East,100+ ratings, 20,20,20,₹200 FOR TWO
Faasos - Wraps & Rolls, Kandivali East,100+ ratings, 23,23,23,₹200 FOR TWO
Burger King, Kandivali East,1000+ ratings, 26,26,26,₹350 FOR TWO
Sweet Truth - Cake and Desserts, Kandivali East,20+ ratings, 19,19,19,₹450 FOR TWO
Subway, Kandivali East,100+ ratings, 18,18,18,₹350 FOR TWO
Apsara Ice Creams, Kandivali East,100+ ratings, 10,10,10,₹150 FOR TWO
Chettinad Tiffun, Malad Kan East,50+ ratings, 26,26,26,₹400 FOR TWO
Madrasi Kaapi House, Evershine Millenium Paradise,50+ ratings, 20,20,20,₹200 FOR TWO
Brijwasi Sweets, Kandivali East,100+ ratings, 13,13,13,₹300 FOR TWO
BOX8 - Desi Meals, Kandivali East,100+ ratings, 19,19,19,₹250 FOR TWO
Banglore Iyanger Bakery, Malad Kan East,50+ ratings, 11,11,11,₹200 FOR TWO
Nirvana, Malad Kan East,100+ ratings, 28,28,28,₹600 FOR TWO
THE BENGAL CLUB, Malad Kan East,50+ ratings, 20,20,20,₹500 FOR TWO
FB Cafe By Frozen Bottle, Thakur Village,20+ ratings, 19,19,19,₹500 FOR TWO
1441 Pizzeria, Thakur Village,100+ ratings, 25,25,25,₹800 FOR TWO
Al Arabian Shawarma, Kandivali East,20+ ratings, 32,32,32,₹250 FOR TWO
LunchBox - Meals and Thalis, Kandivali East,100+ ratings, 23,23,23,₹200 FOR TWO
Aavakay The Andhra Kitchen, Kandivali East,100+ ratings, 24,24,24,₹450 FOR TWO
7th Heaven, Malad Kan East,Too Few Ratings, 19,19,19,₹300 FOR TWO
THE JOY PIZZATERIA, Kandivali East,20+ ratings, 27,27,27,₹550 FOR TWO
69 DACKERS LANE, Malad Kan East,20+ ratings, 24,24,24,₹250 FOR TWO
MOYRA DA, Malad Kan East,Too Few Ratings, 16,16,16,₹150 FOR TWO
The King's Field, Malad Kan East,20+ ratings, 30,30,30,₹450 FOR TWO
Gourmet Ice Cream Cakes by Baskin Robbins, Malad Kan East,Too Few Ratings, 18,18,18,₹250 FOR TWO
GIGIL BRASSERIE, Kandivali East,Too Few Ratings, 26,26,26,₹500 FOR TWO
Subhash Pan Bhandar And Coldrinks, Malad Kan East,Too Few Ratings, 26,26,26,₹100 FOR TWO
Wow Bistro - Evershine Club, Kandivali East,Too Few Ratings, 29,29,29,₹200 FOR TWO
Baskin Robbins Happyness Shakes, Kandivali East,Too Few Ratings, 26,26,26,₹250 FOR TWO
Cafe Coffee Day, Kandivali East,50+ ratings, 25,25,25,₹300 FOR TWO
Kusum Rolls, Kandivali East,20+ ratings, 26,26,26,₹200 FOR TWO
The Biryani Life, Kandivali East,20+ ratings, 25,25,25,₹250 FOR TWO
ZAZA 22 Spice Biryani, Kandivali,Too Few Ratings, 22,22,22,₹250 FOR TWO
SWEET COUNTY CAKE SHOP, Malad Kan East,20+ ratings, 24,24,24,₹500 FOR TWO
Monginis, Malad Kan East,50+ ratings, 12,12,12,₹300 FOR TWO
Cocobroma, Kandivali East,20+ ratings, 21,21,21,₹300 FOR TWO
Firangi Bake, Kandivali East,20+ ratings, 27,27,27,₹400 FOR TWO
Starbucks Coffee, Malad Kan East,100+ ratings, 16,16,16,₹400 FOR TWO
Big Bowl Company, Kandivali East,100+ ratings, 17,17,17,₹300 FOR TWO
The Ice Cream Bakery - TIB, Malad Kan East,Too Few Ratings, 20,20,20,₹300 FOR TWO
NIC Ice Creams, Kandivali East,100+ ratings, 17,17,17,₹120 FOR TWO
The French Connection, Malad Kan East,20+ ratings, 15,15,15,₹500 FOR TWO
Made of Milk, Kandivali (E), Malad Kan East,Too Few Ratings, 25,25,25,₹250 FOR TWO
Good Fettle - Healthy Ice Creams, Kandivali East,Too Few Ratings, 22,22,22,₹300 FOR TWO
TANDOOR CAFE, Kandivali East,Too Few Ratings, 21,21,21,₹200 FOR TWO
Hii Kolkata, Kandivali East Mumbai,Too Few Ratings, 25,25,25,₹200 FOR TWO
